index,cluster,psnr_standard,psnr_optimized,bpp_standard,bpp_optimized,bpp_uncompressed,ssim_standard,ssim_optimized
761,4,36.55489449,36.90615236,1.213214874,1.20514679,8,0.954349977,0.95728136
762,1,31.36935938,31.4350419,2.062408447,2.113792419,8,0.921332879,0.923697782
763,1,34.17516721,34.29365764,1.335933685,1.358798981,8,0.905479459,0.908535791
764,1,34.4188992,34.56134353,1.357395172,1.385650635,8,0.91804076,0.920738739
765,1,32.25528665,32.35246232,1.777378082,1.824531555,8,0.902386129,0.906218887
766,1,34.79781577,34.91683648,1.351730347,1.371505737,8,0.935700247,0.937247803
767,4,33.02158594,33.24763431,1.545036316,1.625537872,8,0.910934897,0.917478381
768,4,33.75031368,33.96266944,1.462291718,1.526088715,8,0.917970335,0.924400718
769,4,32.37108247,32.63684937,1.640045166,1.732429504,8,0.873795753,0.884500332
770,4,32.17103314,32.38615298,1.995975494,2.084457397,8,0.946198467,0.95073669
771,4,36.40840065,36.63188913,1.274932861,1.261924744,8,0.95857727,0.960270042
772,4,36.71432833,36.94795538,1.169628143,1.15788269,8,0.955223174,0.957034462
773,4,36.90243008,37.2335836,1.002590179,1.004844666,8,0.952323105,0.955398519
774,2,37.50160455,38.01460538,0.882133484,0.970912933,8,0.978527178,0.980696772
775,1,33.10388572,33.17388808,1.853305817,1.864162445,8,0.958586427,0.959304123
776,1,34.66307504,34.84907482,1.612930298,1.612194061,8,0.963841808,0.965431101
777,4,37.50190984,37.92103803,0.989852905,0.982212067,8,0.952517593,0.95548695
778,4,37.95394167,38.36348071,1.011768341,1.008068085,8,0.968785114,0.971034196
779,1,33.9406385,34.0634285,1.453884125,1.480964661,8,0.914888125,0.918178802
780,4,33.10325057,33.29293533,1.56375885,1.635063171,8,0.893978529,0.900468902
781,4,37.73049056,38.12722164,1.012050629,1.000656128,8,0.953064946,0.955544756
782,4,36.92226738,37.23479381,1.135494232,1.134593964,8,0.960703831,0.962843133
783,4,39.63593719,39.95618158,0.94216156,0.925338745,8,0.976335001,0.977051908
784,1,36.27473209,36.47743156,1.256755829,1.234897614,8,0.9522326,0.953839181
785,5,37.80276654,38.68929382,0.855236053,1.087471008,8,0.938699014,0.950467593
786,1,35.96487431,36.0148675,1.247169495,1.240097046,8,0.9540297,0.954205095
787,1,34.5378401,34.64837105,1.274929047,1.232555389,8,0.934412223,0.936621009
788,3,37.07804906,37.69404727,0.744590759,0.90253067,8,0.957102482,0.965781167
789,5,32.52747593,33.03587279,1.499706268,1.915523529,8,0.859682643,0.88233618
790,4,35.98021962,36.14324533,1.256355286,1.250854492,8,0.952084166,0.953675005
791,1,31.78951191,31.86375993,2.109165192,2.138298035,8,0.94673832,0.948739011
792,1,33.1737775,33.33731979,1.735816956,1.748855591,8,0.950849274,0.952964355
793,4,37.37196844,37.53418835,1.198432922,1.160362244,8,0.955313271,0.955115434
794,6,35.86416985,36.48248052,0.981391907,1.209873199,8,0.942998959,0.952912007
795,6,39.25189465,40.1102036,0.714866638,0.88419342,8,0.954021706,0.96274063
796,6,36.02771142,36.52961135,0.999958038,1.159927368,8,0.970086394,0.975044125
797,1,36.48697822,36.55528176,1.131092072,1.119083405,8,0.95548645,0.95585156
798,1,37.11696519,37.23790982,1.077453613,1.064735413,8,0.959576017,0.960072013
799,4,41.47101915,41.8229874,0.698814392,0.690654755,8,0.973623696,0.974617058
800,5,43.81437992,44.85959277,0.580715179,0.693267822,8,0.974798871,0.979655969
801,5,44.74960597,45.92590242,0.489376068,0.588024139,8,0.97653555,0.981740458
802,5,41.14450113,42.40500135,0.782684326,0.992359161,8,0.956452674,0.966788176
803,5,43.75024903,44.75523003,0.600215912,0.707210541,8,0.974813269,0.979686284
804,5,43.16826138,44.271435,0.657978058,0.777481079,8,0.974939745,0.980094276
805,5,37.28374784,38.33408317,0.919563293,1.230983734,8,0.919175524,0.936593436
806,0,40.90448108,41.6643359,0.636367798,0.816020966,8,0.953126541,0.960069262
807,5,37.87015171,39.09550742,1.036895752,1.342163086,8,0.937189683,0.952792293
808,5,41.86121274,42.77043977,0.641613007,0.791431427,8,0.960687272,0.967613715
809,5,41.38470117,42.31470911,0.659362793,0.821483612,8,0.959183849,0.966467025
810,5,39.21428025,43.20520762,1.0505867,1.090827942,8,0.957700179,0.982262219
811,5,39.49399347,43.65504923,1.002567291,1.041034698,8,0.957474709,0.982699669
812,5,39.01445031,43.04200128,1.098384857,1.12909317,8,0.949935498,0.978926923
813,5,38.89985772,43.14936877,1.106575012,1.154651642,8,0.956087409,0.982278295
814,5,39.76283121,43.73562758,1.007358551,1.045307159,8,0.958659887,0.982931804
815,5,39.4915701,43.44976735,1.018550873,1.05140686,8,0.954758882,0.980577285
816,5,39.23152769,43.23742628,1.037399292,1.072673798,8,0.951039664,0.979029237
817,5,40.15655074,41.41306139,0.752658844,0.969028473,8,0.962541389,0.971835228
818,5,39.03307358,40.02992056,0.791339874,1.001491547,8,0.948334846,0.958689056
819,5,40.72941534,41.84558525,0.680522919,0.837657928,8,0.961792231,0.970054825
820,3,42.61075834,46.14575885,0.743438721,0.746803284,8,0.980551806,0.989725215
821,3,42.57851625,45.93258837,0.76002121,0.759563446,8,0.979520884,0.988831076
822,3,41.99189703,45.0719858,0.836963654,0.827648163,8,0.974481418,0.985825369
823,3,41.45934844,44.76884466,0.917243958,0.911384583,8,0.973716194,0.984951526
824,3,42.25474838,45.6062249,0.788227081,0.789234161,8,0.979038113,0.988056704
825,3,41.75694459,45.46554241,0.836601257,0.850383759,8,0.979014805,0.988878373
826,3,41.64579572,45.18298618,0.864032745,0.878688812,8,0.978479228,0.988319562
827,3,43.64274792,47.04680388,0.643203735,0.639331818,8,0.980368619,0.99125576
828,3,42.86026155,46.34203749,0.717021942,0.722915649,8,0.981527808,0.990355879
829,3,43.13356077,46.12372471,0.694953918,0.685253143,8,0.979715082,0.987806362
830,3,41.55366253,45.1529134,0.8722229,0.886348724,8,0.978095113,0.98755972
831,3,43.9411202,47.55937475,0.607955933,0.616199493,8,0.984302825,0.992738213
832,3,42.50952563,46.3566686,0.752571106,0.765777588,8,0.982656608,0.991375881
833,3,42.40480188,46.21388238,0.757965088,0.770610809,8,0.981794164,0.990623172
834,3,43.02118083,46.62198381,0.703445435,0.70980072,8,0.981982079,0.991019646
835,3,42.12443736,45.59614838,0.810325623,0.813129425,8,0.978718914,0.988147023
836,3,41.87403227,45.45606412,0.840774536,0.843654633,8,0.978722058,0.988011987
837,3,42.76581332,46.15309696,0.723339081,0.714237213,8,0.977319192,0.988231875
